"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC03 - Verify Cluster Head Filter","","2026-07-10","skipped","2026-07-10","","FO Report Filters","",""
"","2","TC01 - Verify Date Range Filter","","2026-07-10","broken","2026-07-10","","FO Report Filters","",""
"","1","TC06 - Verify Reset Filter","","2026-07-10","skipped","2026-07-10","","FO Report Filters","",""
"","0","TC04 - Verify Status Filter","","2026-07-10","skipped","2026-07-10","","FO Report Filters","",""
"","0","TC02 - Verify Date Type Filter","","2026-07-10","skipped","2026-07-10","","FO Report Filters","",""
"","0","TC05 - Verify Product Category Filter","","2026-07-10","skipped","2026-07-10","","FO Report Filters","",""
