"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4050","TC04 - Verify Status Filter","","2026-07-10","passed","2026-07-10","","FO Report Filters","",""
"","3838","TC05 - Verify Product Category Filter","","2026-07-10","passed","2026-07-10","","FO Report Filters","",""
"","24871","TC06 - Verify Reset Filter","","2026-07-10","passed","2026-07-10","","FO Report Filters","",""
"","17331","TC01 - Verify Date Range Filter","","2026-07-10","passed","2026-07-10","","FO Report Filters","",""
"","20792","TC02 - Verify Date Type Filter","","2026-07-10","passed","2026-07-10","","FO Report Filters","",""
"","4737","TC03 - Verify Cluster Head Filter","","2026-07-10","passed","2026-07-10","","FO Report Filters","",""
